X,Y,Nearest Task
3458,2850,STOR
3458,2838,STOR
3458,2825,STOR
3458,2812,STOR
3458,2800,STOR
3458,2787,STOR
3458,2775,STOR
3458,2761,STOR
3458,2748,STOR
3458,2735,STOR
3458,2722,STOR
3458,2710,STOR
3445,2710,STOR
3432,2710,STOR
3420,2710,STOR
3407,2710,STOR
3394,2710,STOR
3381,2710,STOR
3369,2710,STOR
3355,2710,STOR
3342,2710,STOR
3330,2710,STOR
3317,2710,STOR
3304,2710,STOR
3291,2710,STOR
3279,2710,STOR
3266,2710,STOR
3253,2710,STOR
3241,2710,STOR
3228,2710,STOR
3215,2710,STOR
3202,2710,STOR
3190,2710,STOR
3177,2710,STOR
3165,2710,STOR
3151,2710,STOR
3151,2697,STOR
3151,2684,STOR
3151,2671,STOR
3151,2658,STOR
3151,2645,STOR
3151,2632,STOR
3138,2632,STOR
3126,2632,STOR
3113,2632,STOR
3100,2632,STOR
3087,2632,STOR
3074,2632,STOR
3061,2632,STOR
3049,2632,STOR
3036,2632,STOR
3023,2632,STOR
3010,2632,STOR
2998,2632,STOR
2985,2632,STOR
2972,2632,STOR
2960,2632,STOR
2947,2632,STOR
2934,2632,STOR
2921,2632,STOR
2908,2632,STOR
2896,2632,STOR
2883,2632,STOR
2883,2620,STOR
2883,2607,STOR
2883,2595,STOR
2883,2582,STOR
2883,2569,STOR
2871,2569,STOR
2858,2569,STOR
2845,2569,STOR
2832,2569,STOR
2820,2569,STOR
2807,2569,STOR
2794,2569,STOR
2782,2569,STOR
2769,2569,STOR
2756,2569,STOR
2743,2569,STOR
2731,2569,STOR
2718,2569,STOR
2705,2569,STOR
2692,2569,STOR
2680,2569,STOR
2667,2569,STOR
2654,2569,STOR
2642,2569,STOR
2629,2569,STOR
2616,2569,STOR
2603,2569,STOR
2582,2569,STOR
2569,2569,STOR
2557,2569,ELEC
2544,2569,ELEC
2531,2569,ELEC
2519,2569,ELEC
2506,2569,ELEC
2493,2569,ELEC
2480,2569,ELEC
