X,Y,Nearest Task
4557,435,CAFERIGHT
4557,453,CAFERIGHT
4543,466,CAFERIGHT
4531,479,CAFERIGHT
4512,479,CAFERIGHT
4495,479,CAFERIGHT
4478,479,CAFERIGHT
4460,479,CAFERIGHT
4444,479,CAFERIGHT
4444,491,CAFERIGHT
4444,504,CAFERIGHT
4444,522,CAFERIGHT
4444,540,CAFERIGHT
4444,544,CAFERIGHT
4431,557,CAFERIGHT
4413,557,CAFERIGHT
4410,557,CAFERIGHT
4410,569,CAFERIGHT
4410,587,CAFERIGHT
4410,605,CAFERIGHT
4410,623,O2
4410,641,O2
4410,659,O2
4410,678,O2
4410,699,O2
4410,719,O2
4397,732,O2
4379,732,O2
4361,732,O2
4343,732,O2
4325,732,O2
4307,732,O2
4288,732,O2
4270,732,O2
4252,732,O2
4234,732,O2
4216,732,O2
4198,732,O2
4180,732,O2
4162,732,O2
4144,732,O2
4126,732,O2
4108,732,O2
4090,732,O2
4071,732,O2
4054,732,O2
4036,732,O2
4017,732,O2
4000,732,O2
3982,732,O2
3963,732,O2
3946,732,O2
3927,732,O2
3909,732,O2
3891,732,O2
3874,732,O2
3855,732,O2
3838,732,O2
3817,732,O2
3798,732,O2
3778,732,O2
3759,732,O2
3741,732,O2
3723,732,O2
3705,732,CAFERIGHT
3687,732,CAFERIGHT
3667,732,CAFERIGHT
3650,732,CAFERIGHT
3632,732,CAFERIGHT
3618,718,CAFERIGHT
3605,705,CAFERIGHT
3592,692,CAFERIGHT
3579,679,CAFERIGHT
3567,666,CAFERIGHT
3554,654,CAFERIGHT
3541,641,CAFERIGHT
3529,628,CAFERIGHT
3515,615,CAFERIGHT
3502,602,CAFERIGHT
3489,588,CAFERIGHT
3476,576,CAFERIGHT
3462,562,CAFERIGHT
3448,548,CAFERIGHT
3430,548,CAFERIGHT
3411,548,CAFERIGHT
3393,548,CAFERIGHT
3375,548,CAFERIGHT
3358,548,CAFERIGHT
3338,548,CAFERIGHT
3320,548,CAFERIGHT
3302,548,CAFERIGHT
3284,548,CAFELEF
3266,548,CAFELEF
3248,548,CAFELEF
3230,548,CAFELEF
3211,548,CAFELEF
3193,548,CAFELEF
3175,548,CAFELEF
3163,561,CAFELEF
3147,576,CAFELEF
3130,593,CAFELEF
3114,609,CAFELEF
3101,622,CAFELEF
3088,635,CAFELEF
3088,653,CAFELEF
3088,671,CAFELEF
3088,689,CAFELEF
3088,707,CAFELEF
3088,726,CAFELEF
3088,745,CAFELEF
3088,763,CAFELEF
3075,776,CAFELEF
3056,776,CAFELEF
3038,776,CAFELEF
3019,776,CAFELEF
2999,776,CAFELEF
2980,776,CAFELEF
2961,776,CAFELEF
2943,776,CAFELEF
2925,776,MED
2906,776,MED
2887,776,MED
2875,763,CAFELEF
2862,751,CAFELEF
2849,738,CAFELEF
2831,738,CAFELEF
2812,738,CAFELEF
2794,738,CAFELEF
2776,738,CAFELEF
2757,738,CAFELEF
2739,738,CAFELEF
2720,738,CAFELEF
2706,738,CAFELEF
2706,724,CAFELEF
2692,711,CAFELEF
2680,698,CAFELEF
2666,685,CAFELEF
2648,685,CAFELEF
2625,685,CAFELEF
2606,685,CAFELEF
2586,685,CAFELEF
2568,685,CAFELEF
2549,685,CAFELEF
2530,685,CAFELEF
2512,685,CAFELEF
2494,685,CAFELEF
2475,685,CAFELEF
2456,685,CAFELEF
2437,685,CAFELEF
2419,685,CAFELEF
2401,685,CAFELEF
2382,685,CAFELEF
2363,685,CAFELEF
2344,685,CAFELEF
2325,685,CAFELEF
2307,685,CAFELEF
2288,685,CAFELEF
2269,685,CAFELEF
2249,685,CAFELEF
2231,685,CAFELEF
2212,685,CAFELEF
2194,685,CAFELEF
2176,685,CAFELEF
2157,685,MED
2136,685,MED
2118,685,MED
2096,685,MED
2077,685,MED
2058,685,MED
2037,685,MED
2018,685,MED
1999,685,MED
1980,685,MED
1961,685,MED
1942,685,MED
1923,685,MED
1904,685,MED
1886,685,MED
1867,685,MED
1848,685,REACUP
1829,685,REACUP
1811,685,REACUP
1793,685,REACUP
1774,685,REACUP
1754,685,REACUP
1736,685,REACUP
1714,685,REACUP
1686,685,REACUP
1662,685,REACUP
1642,685,REACUP
1623,685,REACUP
1610,698,REACUP
1597,712,REACUP
1582,726,REACUP
1582,746,REACUP
1582,765,REACUP
