X,Y,Nearest Task
3458,2850,STOR
3458,2838,STOR
3458,2825,STOR
3458,2812,STOR
3458,2799,STOR
3458,2786,STOR
3458,2773,STOR
3458,2760,STOR
3458,2748,STOR
3458,2735,STOR
3458,2723,STOR
3458,2710,STOR
3458,2697,STOR
3458,2685,STOR
3458,2672,STOR
3445,2672,STOR
3433,2672,STOR
3420,2672,STOR
3407,2672,STOR
3394,2672,STOR
3382,2672,STOR
3369,2672,STOR
3355,2672,STOR
3342,2672,STOR
3330,2672,STOR
3317,2672,STOR
3304,2672,STOR
3292,2672,STOR
3279,2672,STOR
3266,2672,STOR
3254,2672,STOR
3240,2672,STOR
3227,2672,STOR
3214,2672,STOR
3201,2672,STOR
3188,2672,STOR
3175,2672,STOR
3163,2672,STOR
3150,2672,STOR
3138,2672,STOR
3125,2672,STOR
3112,2672,STOR
3099,2672,STOR
3087,2672,STOR
3074,2672,STOR
3074,2660,STOR
3074,2647,STOR
3074,2634,STOR
3074,2621,STOR
3074,2608,STOR
3074,2595,STOR
3061,2595,STOR
3049,2595,STOR
3036,2595,STOR
3023,2595,STOR
3010,2595,STOR
2997,2595,STOR
2984,2595,STOR
2972,2595,STOR
2959,2595,STOR
2946,2595,STOR
2933,2595,STOR
2921,2595,STOR
2908,2595,STOR
2895,2595,STOR
2882,2595,STOR
2869,2595,STOR
2857,2595,STOR
2844,2595,STOR
2840,2595,STOR
2840,2582,STOR
2840,2570,STOR
2840,2557,STOR
2840,2545,STOR
2840,2532,STOR
2840,2519,STOR
2840,2507,STOR
2827,2507,STOR
2814,2507,STOR
2801,2507,STOR
2788,2507,STOR
2775,2507,STOR
2762,2507,STOR
2749,2507,STOR
2736,2507,STOR
2723,2507,STOR
2710,2507,STOR
2697,2507,STOR
2685,2507,STOR
2672,2507,STOR
2660,2507,STOR
2647,2507,STOR
2635,2507,ELEC
2622,2507,ELEC
2609,2507,ELEC
2596,2507,ELEC
2583,2507,ELEC
2571,2507,ELEC
2558,2507,ELEC
