X,Y,Nearest Task
4557,435,CAFERIGHT
4538,435,CAFERIGHT
4519,435,CAFERIGHT
4500,435,CAFERIGHT
4483,435,CAFERIGHT
4466,435,CAFERIGHT
4449,435,CAFERIGHT
4444,435,CAFERIGHT
4444,448,CAFERIGHT
4444,467,CAFERIGHT
4444,485,CAFERIGHT
4444,503,CAFERIGHT
4444,521,CAFERIGHT
4444,539,CAFERIGHT
4444,544,CAFERIGHT
4431,557,CAFERIGHT
4419,569,CAFERIGHT
4410,581,CAFERIGHT
4410,593,CAFERIGHT
4410,606,CAFERIGHT
4410,626,O2
4410,644,O2
4410,662,O2
4410,680,O2
4410,697,O2
4410,715,O2
4410,734,O2
4410,736,O2
4397,736,O2
4385,736,O2
4373,736,O2
4360,736,O2
4347,736,O2
4334,736,O2
4322,736,O2
4309,736,O2
4297,736,O2
4284,736,O2
4271,736,O2
4259,736,O2
4247,736,O2
4234,736,O2
4217,736,O2
4199,736,O2
4181,736,O2
4163,736,O2
4145,736,O2
4126,736,O2
4108,736,O2
4089,736,O2
4071,736,O2
4054,736,O2
4036,736,O2
4018,736,O2
4000,736,O2
3983,736,O2
3966,736,O2
3947,736,O2
3930,736,O2
3912,736,O2
3893,736,O2
3875,736,O2
3857,736,O2
3839,736,O2
3817,736,O2
3793,736,O2
3773,736,O2
3755,736,O2
3737,736,O2
3719,736,O2
3702,736,O2
3684,736,CAFERIGHT
3666,736,CAFERIGHT
3648,736,CAFERIGHT
3630,736,CAFERIGHT
3612,736,CAFERIGHT
3593,736,CAFERIGHT
3580,723,CAFERIGHT
3580,704,CAFERIGHT
3580,686,CAFERIGHT
3580,667,CAFERIGHT
3580,649,CAFERIGHT
3580,631,CAFERIGHT
3580,612,CAFERIGHT
3580,594,CAFERIGHT
3580,576,CAFERIGHT
3567,563,CAFERIGHT
3550,563,CAFERIGHT
3532,563,CAFERIGHT
3514,563,CAFERIGHT
3496,563,CAFERIGHT
3479,563,CAFERIGHT
3461,563,CAFERIGHT
3443,563,CAFERIGHT
3425,563,CAFERIGHT
3407,563,CAFERIGHT
3391,563,CAFERIGHT
3374,563,CAFERIGHT
3356,563,CAFERIGHT
3338,563,CAFERIGHT
3319,563,CAFERIGHT
3301,563,CAFERIGHT
3283,563,CAFELEF
3266,563,CAFELEF
3248,563,CAFELEF
3228,563,CAFELEF
3209,563,CAFELEF
3190,563,CAFELEF
3172,563,CAFELEF
3154,563,CAFELEF
3136,563,CAFELEF
3118,563,CAFELEF
3105,576,CAFELEF
3093,588,CAFELEF
3080,601,CAFELEF
3067,614,CAFELEF
3067,632,CAFELEF
3067,651,CAFELEF
3067,669,CAFELEF
3067,686,CAFELEF
3067,703,CAFELEF
3067,720,CAFELEF
3053,735,CAFELEF
3039,748,CAFELEF
3021,748,CAFELEF
3001,748,CAFELEF
2982,748,CAFELEF
2964,748,CAFELEF
2947,748,CAFELEF
2929,748,CAFELEF
2911,748,CAFELEF
2893,748,CAFELEF
2874,748,CAFELEF
2856,748,CAFELEF
2838,748,CAFELEF
2819,748,CAFELEF
2805,735,CAFELEF
2793,722,CAFELEF
2780,709,CAFELEF
2767,696,CAFELEF
2749,696,CAFELEF
2731,696,CAFELEF
2713,696,CAFELEF
2695,696,CAFELEF
2677,696,CAFELEF
2659,696,CAFELEF
2641,696,CAFELEF
2623,696,CAFELEF
2605,696,CAFELEF
2587,696,CAFELEF
2569,696,CAFELEF
2550,696,CAFELEF
2531,696,CAFELEF
2513,696,CAFELEF
2494,696,CAFELEF
2470,696,CAFELEF
2446,696,CAFELEF
2428,696,CAFELEF
2409,696,CAFELEF
2390,696,CAFELEF
2378,709,CAFELEF
2364,722,MED
2364,741,MED
2364,761,MED
2364,780,MED
2364,799,MED
2364,818,MED
2364,837,MED
2364,856,MED
2364,874,MED
2364,893,MED
2364,912,MED
2364,931,MED
2364,949,MED
2364,968,MED
2364,989,MED
2364,1008,MED
2364,1027,MED
2364,1047,MED
2364,1066,MED
2364,1084,MED
2364,1103,MED
2364,1123,MED
2364,1142,MED
2364,1161,MED
2364,1181,MED
2364,1200,MED
2364,1220,MED
2364,1240,MED
2364,1259,MED
2364,1279,MED
2364,1298,MED
2364,1316,MED
2364,1336,MED
2364,1355,MED
2364,1374,MED
2364,1393,MED
2364,1413,MED
2364,1432,MED
2384,1432,MED
2403,1432,MED
2421,1432,MED
2440,1432,MED
2458,1432,MED
2477,1432,MED
2496,1432,MED
2515,1432,MED
2533,1432,MED
2551,1432,MED
2570,1432,MED
