X,Y,Nearest Task
4557,435,CAFERIGHT
4538,435,CAFERIGHT
4519,435,CAFERIGHT
4501,435,CAFERIGHT
4479,435,CAFERIGHT
4461,435,CAFERIGHT
4447,449,CAFERIGHT
4444,461,CAFERIGHT
4444,475,CAFERIGHT
4444,495,CAFERIGHT
4444,513,CAFERIGHT
4444,535,CAFERIGHT
4430,549,CAFERIGHT
4416,563,CAFERIGHT
4410,576,CAFERIGHT
4410,590,CAFERIGHT
4410,605,CAFERIGHT
4410,623,O2
4410,642,O2
4410,661,O2
4410,678,O2
4410,696,O2
4410,715,O2
4396,729,O2
4376,729,O2
4356,729,O2
4338,729,O2
4318,729,O2
4297,729,O2
4278,729,O2
4260,729,O2
4242,729,O2
4224,729,O2
4205,729,O2
4185,729,O2
4166,729,O2
4148,729,O2
4126,729,O2
4107,729,O2
4087,729,O2
4067,729,O2
4048,729,O2
4030,729,O2
4011,729,O2
3993,729,O2
3973,729,O2
3960,715,O2
3960,696,O2
3960,677,CAFERIGHT
3960,659,CAFERIGHT
3960,640,CAFERIGHT
3960,622,CAFERIGHT
3960,604,CAFERIGHT
3960,586,CAFERIGHT
3960,567,CAFERIGHT
3960,549,CAFERIGHT
3960,531,CAFERIGHT
3960,513,CAFERIGHT
3960,496,CAFERIGHT
3960,478,CAFERIGHT
3960,459,CAFERIGHT
3960,440,CAFERIGHT
3960,422,CAFERIGHT
3947,409,CAFERIGHT
3930,409,CAFERIGHT
3911,409,CAFERIGHT
3893,409,CAFERIGHT
3875,409,CAFERIGHT
3862,396,CAFERIGHT
3862,378,CAFERIGHT
3862,360,CAFERIGHT
3880,360,CAFERIGHT
3898,360,CAFERIGHT
3917,360,CAFERIGHT
