X,Y,Nearest Task
4557,435,CAFERIGHT
4537,435,CAFERIGHT
4516,435,CAFERIGHT
4498,435,CAFERIGHT
4481,435,CAFERIGHT
4464,435,CAFERIGHT
4445,435,CAFERIGHT
4444,435,CAFERIGHT
4444,448,CAFERIGHT
4444,461,CAFERIGHT
4444,479,CAFERIGHT
4444,497,CAFERIGHT
4444,515,CAFERIGHT
4444,534,CAFERIGHT
4444,544,CAFERIGHT
4431,557,CAFERIGHT
4419,569,CAFERIGHT
4410,581,CAFERIGHT
4410,595,CAFERIGHT
4410,607,CAFERIGHT
4410,620,O2
4398,632,O2
4391,644,O2
4391,656,O2
4378,669,O2
4378,688,O2
4378,706,O2
4378,724,O2
4378,736,O2
4365,736,O2
4352,736,O2
4339,736,O2
4326,736,O2
4313,736,O2
4299,736,O2
4287,736,O2
4273,736,O2
4261,736,O2
4248,736,O2
4235,736,O2
4222,736,O2
4204,736,O2
4186,736,O2
4168,736,O2
4149,736,O2
4124,736,O2
4098,736,O2
4076,736,O2
4058,736,O2
4040,736,O2
4021,736,O2
4003,736,O2
3985,736,O2
3967,736,O2
3949,736,O2
3930,736,O2
3909,736,O2
3889,736,O2
3870,736,O2
3850,736,O2
3831,736,O2
3813,736,O2
3795,736,O2
3777,736,O2
3759,736,O2
3741,736,O2
3723,736,O2
3705,736,O2
3687,736,CAFERIGHT
3669,736,CAFERIGHT
3652,736,CAFERIGHT
3634,736,CAFERIGHT
3615,736,CAFERIGHT
3598,736,CAFERIGHT
3578,736,CAFERIGHT
3565,723,CAFERIGHT
3565,704,CAFERIGHT
3565,686,CAFERIGHT
3565,666,CAFERIGHT
3565,648,CAFERIGHT
3565,630,CAFERIGHT
3565,612,CAFERIGHT
3565,593,CAFERIGHT
3565,575,CAFERIGHT
3565,556,CAFERIGHT
3565,538,CAFERIGHT
3552,525,CAFERIGHT
3532,525,CAFERIGHT
3511,525,CAFERIGHT
3493,525,CAFERIGHT
3473,525,CAFERIGHT
3453,525,CAFERIGHT
3434,525,CAFERIGHT
3416,525,CAFERIGHT
3398,525,CAFERIGHT
3381,525,CAFERIGHT
3363,525,CAFERIGHT
3346,525,CAFERIGHT
3326,525,CAFERIGHT
3307,525,CAFERIGHT
3290,525,CAFERIGHT
3272,525,CAFELEF
3252,525,CAFELEF
3234,525,CAFELEF
3216,525,CAFELEF
3197,525,CAFELEF
3178,525,CAFELEF
3170,525,CAFELEF
3170,540,CAFELEF
3170,559,CAFELEF
3170,576,CAFELEF
3170,593,CAFELEF
3157,606,CAFELEF
3138,606,CAFELEF
3121,606,CAFELEF
3103,606,CAFELEF
3086,606,CAFELEF
3068,606,CAFELEF
3050,606,CAFELEF
3028,606,CAFELEF
3010,606,CAFELEF
2992,606,CAFELEF
2974,606,CAFELEF
2955,606,CAFELEF
2938,606,CAFELEF
2917,606,CAFELEF
2899,606,CAFELEF
2880,606,CAFELEF
2861,606,CAFELEF
2842,606,CAFELEF
2824,606,CAFELEF
2805,606,CAFELEF
2781,606,CAFELEF
2757,606,CAFELEF
2737,606,CAFELEF
2719,606,CAFELEF
2707,606,CAFELEF
2707,624,CAFELEF
2707,642,CAFELEF
2707,660,CAFELEF
2707,678,CAFELEF
2694,690,CAFELEF
2675,690,CAFELEF
2657,690,CAFELEF
2639,690,CAFELEF
2622,690,CAFELEF
2604,690,CAFELEF
2585,690,CAFELEF
2567,690,CAFELEF
2547,690,CAFELEF
2530,690,CAFELEF
2512,690,CAFELEF
2494,690,CAFELEF
2476,690,CAFELEF
2458,690,CAFELEF
2440,690,CAFELEF
2421,690,CAFELEF
2403,690,CAFELEF
2384,690,CAFELEF
2365,690,CAFELEF
2345,690,CAFELEF
2327,690,CAFELEF
2308,690,CAFELEF
2288,690,CAFELEF
2270,690,CAFELEF
2250,690,CAFELEF
2230,690,CAFELEF
2212,690,CAFELEF
2192,690,MED
2173,690,MED
2154,690,MED
2136,690,MED
2117,690,MED
2098,690,MED
2079,690,MED
2061,690,MED
2042,690,MED
2023,690,MED
2005,690,MED
1984,690,MED
1966,690,MED
1946,690,MED
1926,690,MED
1907,690,MED
1889,690,MED
1870,690,MED
1851,690,REACUP
1832,690,REACUP
1812,690,REACUP
1793,690,REACUP
1774,690,REACUP
1754,690,REACUP
1734,690,REACUP
1715,690,REACUP
1696,690,REACUP
1677,690,REACUP
1656,690,REACUP
1636,690,REACUP
1617,690,REACUP
1598,690,REACUP
1584,704,REACUP
1584,724,REACUP
1584,743,REACUP
1584,761,REACUP
1584,780,REACUP
1584,798,REACUP
1584,817,REACUP
1584,836,REACUP
1584,854,REACUP
1584,872,REACUP
1584,892,REACUP
1584,910,REACUP
1571,923,REACUP
1553,923,REACUP
1534,923,REACUP
1514,923,REACUP
1494,923,REACUP
1476,923,REACUP
1457,923,REACUP
1431,923,REACUP
1406,923,REACUP
1390,939,REACUP
1390,958,REACUP
1390,978,REACUP
1390,997,REACUP
1390,1017,REACUP
1390,1038,REACUP
1390,1057,REACUP
1390,1076,REACUP
1390,1095,REACUP
1390,1114,REACUP
1390,1134,REACUP
1390,1154,REACUP
1390,1174,REACUP
1404,1188,REACUP
1417,1201,REACUP
1431,1215,REACUP
1431,1233,REACUP
1431,1253,REACUP
1431,1274,REACUP
1431,1293,REACUP
1431,1312,REACUP
1431,1331,REACUP
1431,1349,REACUP
1431,1368,REACUP
1431,1388,REACUP
1431,1407,REACUP
1431,1425,REACUP
1431,1443,REACUP
1431,1463,REACUP
1431,1482,REACDOWN
1431,1501,REACDOWN
1431,1520,REACDOWN
1431,1540,REACDOWN
1431,1559,REACDOWN
1431,1577,REACDOWN
1431,1596,REACDOWN
1431,1616,REACDOWN
1431,1636,REACDOWN
1431,1656,REACDOWN
1431,1675,REACDOWN
1431,1694,REACDOWN
1431,1713,REACDOWN
1431,1732,REACDOWN
1431,1751,REACDOWN
1431,1770,REACDOWN
1431,1790,REACDOWN
1431,1809,REACDOWN
1431,1829,REACDOWN
1431,1849,REACDOWN
1431,1869,REACDOWN
1431,1895,REACDOWN
1431,1915,REACDOWN
1431,1934,REACDOWN
1431,1954,REACDOWN
1431,1974,REACDOWN
1431,1996,REACDOWN
1431,2016,REACDOWN
1431,2035,REACDOWN
1446,2040,REACDOWN
1466,2040,REACDOWN
1486,2040,REACDOWN
1506,2040,REACDOWN
1529,2040,REACDOWN
1550,2040,REACDOWN
1571,2040,REACDOWN
1591,2040,REACDOWN
1612,2040,REACDOWN
1629,2057,REACDOWN
1629,2078,REACDOWN
1629,2099,REACDOWN
1629,2120,REACDOWN
1629,2139,REACDOWN
1629,2159,REACDOWN
1629,2178,REACDOWN
1629,2198,REACDOWN
1629,2220,REACDOWN
1629,2240,REACDOWN
1629,2260,REACDOWN
1629,2281,REACDOWN
1629,2302,REACDOWN
1629,2322,REACDOWN
1629,2345,REACDOWN
1629,2367,REACDOWN
1629,2388,REACDOWN
1629,2414,REACDOWN
1629,2441,REACDOWN
1605,2441,REACDOWN
1580,2441,REACDOWN
1559,2441,REACDOWN
1540,2441,REACDOWN
1520,2441,REACDOWN
1501,2441,REACDOWN
1481,2441,REACDOWN
1461,2441,REACDOWN
1441,2441,REACDOWN
1421,2441,REACDOWN
1401,2441,REACDOWN
1382,2441,REACDOWN
1362,2441,REACDOWN
1342,2441,REACDOWN
1342,2420,REACDOWN
1342,2400,REACDOWN
1342,2381,REACDOWN
1342,2361,REACDOWN
1342,2349,REACDOWN
1322,2349,REACDOWN
1302,2349,REACDOWN
1282,2349,REACDOWN
