X,Y,Nearest Task
3458,2850,STOR
3458,2837,STOR
3458,2825,STOR
3458,2812,STOR
3458,2787,STOR
3458,2774,STOR
3458,2762,STOR
3458,2749,STOR
3458,2736,STOR
3458,2724,STOR
3458,2711,STOR
3445,2711,STOR
3432,2711,STOR
3419,2711,STOR
3406,2711,STOR
3394,2711,STOR
3381,2711,STOR
3368,2711,STOR
3355,2711,STOR
3343,2711,STOR
3329,2711,STOR
3317,2711,STOR
3303,2711,STOR
3290,2711,STOR
3278,2711,STOR
3265,2711,STOR
3252,2711,STOR
3239,2711,STOR
3226,2711,STOR
3213,2711,STOR
3200,2711,STOR
3186,2711,STOR
3173,2711,STOR
3159,2711,STOR
3145,2711,STOR
3133,2711,STOR
3133,2698,STOR
3133,2683,STOR
3133,2670,STOR
3133,2657,STOR
3133,2644,STOR
3133,2632,STOR
3120,2632,STOR
3108,2632,STOR
3095,2632,STOR
3083,2632,STOR
3070,2632,STOR
3058,2632,STOR
3045,2632,STOR
3032,2632,STOR
3019,2632,STOR
3005,2632,STOR
2992,2632,STOR
2980,2632,STOR
2967,2632,STOR
2951,2632,STOR
2939,2632,STOR
2939,2616,STOR
2939,2603,STOR
2939,2590,STOR
2939,2578,STOR
2939,2565,STOR
2939,2552,STOR
2926,2552,STOR
2913,2552,STOR
2898,2552,STOR
2884,2552,STOR
2871,2552,STOR
2857,2552,STOR
2844,2552,STOR
2831,2552,STOR
2817,2552,STOR
2805,2552,STOR
2791,2552,STOR
2778,2552,STOR
2764,2552,STOR
2751,2552,STOR
2738,2552,STOR
2705,2552,STOR
2693,2552,STOR
2680,2552,STOR
2668,2552,STOR
2655,2552,STOR
2642,2552,STOR
2629,2552,STOR
2614,2552,STOR
2602,2552,STOR
2589,2552,STOR
2574,2552,ELEC
2562,2552,ELEC
2549,2552,ELEC
2537,2552,ELEC
2524,2552,ELEC
2511,2552,ELEC
2498,2552,ELEC
2484,2552,ELEC
2472,2552,ELEC
2457,2552,ELEC
2443,2552,ELEC
2430,2552,ELEC
2418,2552,ELEC
2405,2552,ELEC
2392,2552,ELEC
2379,2552,ELEC
2364,2552,ELEC
2351,2552,ELEC
2339,2552,ELEC
2324,2552,ELEC
2310,2552,ELEC
2297,2552,ELEC
2285,2552,ELEC
2272,2552,ELEC
2259,2552,ELEC
2246,2552,ELEC
2232,2552,ELEC
2219,2552,ELEC
2206,2552,ELEC
2194,2552,ELEC
2181,2552,ELEC
2167,2552,ELEC
2154,2552,ELEC
2142,2552,ELEC
2129,2552,ELEC
2116,2552,ELEC
2100,2552,ELEC
2087,2552,ELEC
2074,2552,ELEC
2061,2552,ELEC
2049,2552,ELEC
2034,2552,ELEC
2021,2552,ELEC
2007,2552,ELEC
1995,2552,ELEC
1982,2552,ELEC
1969,2552,ELEC
1969,2539,ELEC
1969,2526,ELEC
1969,2510,ELEC
1969,2497,ELEC
1969,2484,ELEC
1969,2470,ELEC
1969,2458,ELEC
1969,2443,ELEC
1969,2430,ELEC
1969,2418,ELEC
1969,2403,ELEC
1969,2391,ELEC
1969,2378,ELEC
1969,2365,ELEC
1969,2352,ELEC
1969,2338,ELEC
1969,2326,ELEC
1969,2312,ELEC
1969,2299,ELEC
1969,2285,ELEC
1969,2273,ELEC
1956,2273,ELEC
1944,2273,ELEC
1931,2273,ELEC
1919,2273,ELEC
1911,2273,ELEC
1911,2260,ELEC
1911,2247,ELEC
1911,2234,ELEC
1911,2221,ELEC
1911,2208,ELEC
1911,2195,ELEC
1911,2182,ELEC
1877,2182,ELEC
1864,2182,ELEC
1851,2182,ELEC
1839,2182,ELEC
1826,2182,ELEC
1814,2182,ELEC
1801,2182,ELEC
1788,2182,ELEC
1775,2182,ELEC
1762,2182,ELEC
1746,2182,ELEC
1733,2182,ELEC
1720,2182,REACDOWN
1707,2182,REACDOWN
1695,2182,REACDOWN
1681,2182,REACDOWN
1669,2182,REACDOWN
1656,2182,REACDOWN
1643,2182,REACDOWN
1630,2182,REACDOWN
1617,2182,REACDOWN
1604,2182,REACDOWN
1590,2182,REACDOWN
1577,2182,REACDOWN
1572,2182,REACDOWN
1572,2169,REACDOWN
1572,2157,REACDOWN
1572,2144,REACDOWN
1572,2131,REACDOWN
1572,2118,REACDOWN
1572,2105,REACDOWN
1572,2093,REACDOWN
1572,2080,REACDOWN
1572,2066,REACDOWN
1572,2053,REACDOWN
1572,2040,REACDOWN
1572,2025,REACDOWN
1572,2012,REACDOWN
1572,1997,REACDOWN
1559,1997,REACDOWN
1547,1997,REACDOWN
1534,1997,REACDOWN
1521,1997,REACDOWN
1507,1997,REACDOWN
1494,1997,REACDOWN
1482,1997,REACDOWN
1469,1997,REACDOWN
1456,1997,REACDOWN
1443,1997,REACDOWN
1431,1997,REACDOWN
1416,1997,REACDOWN
1403,1997,REACDOWN
1389,1997,REACDOWN
1376,1997,REACDOWN
1361,1997,REACDOWN
1361,1985,REACDOWN
1361,1972,REACDOWN
1361,1959,REACDOWN
1361,1947,REACDOWN
1361,1934,REACDOWN
1361,1920,REACDOWN
1361,1908,REACDOWN
1361,1894,REACDOWN
1361,1881,REACDOWN
1361,1869,REACDOWN
1361,1856,REACDOWN
1361,1843,REACDOWN
1361,1830,REACDOWN
1361,1818,REACDOWN
1361,1804,REACDOWN
1361,1792,REACDOWN
1361,1779,REACDOWN
1361,1766,REACDOWN
1361,1753,REACDOWN
1361,1741,REACDOWN
1361,1725,REACDOWN
1361,1712,REACDOWN
1361,1699,REACDOWN
1361,1685,REACDOWN
1361,1672,REACDOWN
1361,1656,REACDOWN
1361,1633,REACDOWN
1361,1620,REACDOWN
1361,1607,REACDOWN
1361,1595,REACDOWN
1361,1582,REACDOWN
1361,1568,REACDOWN
1361,1554,REACDOWN
1361,1541,REACDOWN
1374,1541,REACDOWN
1388,1541,REACDOWN
1401,1541,REACDOWN
1414,1541,REACDOWN
1428,1541,REACDOWN
1442,1541,REACDOWN
1455,1541,REACDOWN
1468,1541,REACDOWN
1480,1541,REACDOWN
1493,1541,REACDOWN
1506,1541,REACDOWN
1521,1541,REACDOWN
1533,1541,REACDOWN
1546,1541,REACDOWN
1559,1541,REACDOWN
1571,1541,REACDOWN
1584,1541,REACDOWN
1597,1541,REACDOWN
1610,1541,REACDOWN
1623,1541,REACDOWN
1636,1541,REACDOWN
1648,1541,ELEC
1661,1541,ELEC
1674,1541,ELEC
1686,1541,ELEC
1699,1541,ELEC
1712,1541,ELEC
1725,1541,ELEC
1738,1541,ELEC
1750,1541,ELEC
1763,1541,ELEC
1776,1541,ELEC
1789,1541,ELEC
1802,1541,ELEC
1814,1541,ELEC
1827,1541,ELEC
1840,1541,ELEC
1854,1541,ELEC
1866,1541,ELEC
1881,1541,ELEC
1894,1541,ELEC
1907,1541,ELEC
1921,1541,ELEC
1921,1554,ELEC
1921,1567,ELEC
1921,1579,ELEC
1921,1593,ELEC
1921,1607,ELEC
1921,1621,ELEC
1921,1634,ELEC
1921,1647,ELEC
1921,1655,ELEC
