X,Y,Nearest Task
3458,2850,STOR
3458,2837,STOR
3458,2824,STOR
3458,2811,STOR
3458,2798,STOR
3458,2785,STOR
3458,2772,STOR
3458,2759,STOR
3458,2746,STOR
3458,2734,STOR
3458,2721,STOR
3458,2709,STOR
3458,2696,STOR
3458,2683,STOR
3458,2671,STOR
3458,2658,STOR
3458,2645,STOR
3458,2632,STOR
3458,2619,STOR
3458,2606,STOR
3458,2593,STOR
3458,2580,STOR
3458,2567,STOR
3458,2551,STOR
3458,2538,STOR
3458,2525,STOR
3458,2512,STOR
3458,2500,STOR
3458,2487,STOR
3458,2474,STOR
3458,2461,STOR
3458,2448,STOR
3458,2436,STOR
3458,2423,STOR
3458,2410,STOR
3458,2397,STOR
3458,2384,STOR
3458,2371,STOR
3458,2358,STOR
3458,2345,STOR
3458,2333,STOR
3458,2320,STOR
3458,2308,STOR
3458,2294,STOR
3458,2281,STOR
3458,2268,STOR
3458,2255,STOR
3458,2243,STOR
3458,2230,STOR
3458,2217,STOR
3458,2205,STOR
3458,2192,STOR
3458,2179,STOR
3458,2167,STOR
3458,2154,STOR
3458,2141,STOR
3458,2128,STOR
3458,2115,STOR
3458,2103,STOR
3458,2090,STOR
3458,2077,STOR
3458,2064,STOR
3458,2051,STOR
3458,2038,STOR
3458,2026,STOR
3446,2026,STOR
3433,2026,STOR
3421,2026,STOR
3408,2026,STOR
3394,2026,STOR
3382,2026,STOR
3369,2026,STOR
3357,2026,STOR
3344,2026,STOR
3332,2026,STOR
3319,2026,STOR
3307,2026,STOR
3307,2013,STOR
3307,2000,STOR
3307,1987,STOR
3307,1975,STOR
3307,1962,ELEC
3307,1950,ELEC
3307,1937,ELEC
3307,1925,ELEC
3307,1912,ELEC
3307,1899,ELEC
3307,1886,ELEC
3307,1873,ELEC
3307,1860,ELEC
3307,1847,ELEC
3307,1835,MED
3307,1822,MED
3307,1809,MED
3307,1797,MED
3307,1784,MED
3307,1771,MED
3307,1759,MED
3307,1746,MED
3307,1733,MED
3307,1720,MED
3307,1707,MED
3307,1695,MED
3307,1682,MED
3307,1669,MED
3307,1656,MED
3307,1644,MED
3307,1631,MED
3307,1618,MED
3307,1605,MED
3307,1593,MED
3307,1580,MED
3307,1567,MED
3307,1554,MED
3307,1541,MED
3307,1528,MED
3307,1515,MED
3307,1503,MED
3307,1490,MED
3307,1477,MED
3307,1464,MED
3307,1451,MED
3307,1438,MED
3307,1425,MED
3307,1412,MED
3307,1400,MED
3307,1387,MED
3307,1374,MED
3307,1361,MED
3307,1349,MED
3307,1336,MED
3307,1323,MED
3307,1311,MED
3307,1298,MED
3307,1285,MED
3307,1272,MED
3307,1259,MED
3307,1246,MED
3307,1219,MED
3307,1207,MED
3307,1194,MED
3307,1182,MED
3307,1169,O2
3307,1156,O2
3307,1144,O2
3307,1131,O2
3307,1118,O2
3307,1105,O2
3307,1092,O2
3307,1079,O2
3307,1062,O2
3307,1049,O2
3307,1037,O2
3294,1037,O2
3282,1037,MED
3269,1037,MED
3256,1037,MED
3243,1037,MED
3230,1037,MED
3217,1037,MED
3204,1037,MED
3191,1037,MED
3178,1037,MED
3173,1037,MED
3173,1024,MED
3173,1012,MED
3173,999,MED
3173,986,MED
3173,973,MED
3173,961,MED
3173,948,MED
3173,936,MED
3173,923,MED
3173,910,MED
3173,897,MED
3173,884,MED
3173,871,MED
3173,859,MED
3160,859,MED
3147,859,MED
3135,859,MED
3122,859,MED
3109,859,MED
3096,859,MED
3083,859,MED
3070,859,MED
3057,859,MED
3045,859,MED
3032,859,MED
3019,859,MED
3006,859,MED
2993,859,MED
2980,859,MED
2968,859,MED
2955,859,MED
2942,859,MED
2929,859,MED
2917,859,MED
2904,859,MED
2891,859,MED
2879,859,MED
2866,859,MED
2853,859,MED
2840,859,MED
2840,846,MED
2840,833,MED
2840,821,MED
2840,808,MED
2840,796,MED
2840,783,MED
2840,770,MED
2840,757,CAFELEF
2840,745,CAFELEF
2831,736,CAFELEF
2818,736,CAFELEF
2805,736,CAFELEF
2792,736,CAFELEF
2779,736,CAFELEF
2766,736,CAFELEF
2754,736,CAFELEF
2741,736,CAFELEF
2728,736,CAFELEF
2715,736,CAFELEF
2702,736,CAFELEF
2690,736,CAFELEF
2677,736,CAFELEF
2665,736,CAFELEF
2652,736,CAFELEF
2639,736,CAFELEF
2626,736,CAFELEF
2614,736,CAFELEF
2601,736,CAFELEF
2588,736,MED
2575,736,MED
2563,736,MED
2550,736,MED
2538,736,MED
2525,736,MED
2513,736,MED
2500,736,MED
2487,736,MED
2474,736,MED
2474,723,MED
2474,710,CAFELEF
2474,697,CAFELEF
2461,697,CAFELEF
2448,697,CAFELEF
2436,697,CAFELEF
2423,697,CAFELEF
2410,697,CAFELEF
2398,697,CAFELEF
2385,697,CAFELEF
2372,697,CAFELEF
2372,710,MED
2372,722,MED
2372,735,MED
2372,736,MED
2359,736,MED
2347,736,MED
2334,736,MED
2321,736,MED
2308,736,MED
2296,736,MED
2283,736,MED
2283,749,MED
2283,762,MED
2283,775,MED
2283,788,MED
2283,801,MED
2283,813,MED
2283,826,MED
2283,839,MED
2283,852,MED
2283,864,MED
2283,877,MED
2283,890,MED
2283,904,MED
2283,922,MED
2283,935,MED
2283,948,MED
2283,961,MED
2283,974,MED
2283,987,MED
2283,999,MED
2283,1012,MED
2283,1025,MED
2283,1037,MED
2283,1050,MED
2283,1063,MED
2283,1076,MED
2283,1089,MED
2283,1102,MED
2283,1115,MED
2283,1128,MED
2283,1141,MED
2283,1154,MED
2283,1167,MED
2283,1180,MED
2283,1192,MED
2283,1205,MED
2283,1217,MED
2283,1230,MED
2283,1243,MED
2283,1255,MED
2283,1268,MED
2283,1281,MED
2283,1294,MED
2283,1306,MED
2283,1319,MED
2283,1332,MED
2295,1332,MED
2308,1332,MED
2320,1332,MED
2333,1332,MED
2345,1332,MED
2358,1332,MED
2370,1332,MED
2383,1332,MED
2396,1332,MED
2409,1332,MED
2422,1332,MED
2435,1332,MED
2447,1332,MED
2460,1332,MED
2460,1344,MED
2460,1357,MED
2460,1370,MED
2460,1383,MED
2460,1396,MED
2460,1409,MED
2460,1421,MED
2460,1434,MED
2473,1434,MED
2485,1434,MED
2498,1434,MED
2511,1434,MED
2524,1434,MED
2537,1434,MED
2549,1434,MED
2562,1434,MED
2575,1434,MED
2588,1434,MED
