X,Y,Nearest Task
3458,2850,STOR
3458,2838,STOR
3458,2825,STOR
3458,2813,STOR
3458,2800,STOR
3458,2787,STOR
3458,2774,STOR
3458,2761,STOR
3458,2748,STOR
3458,2735,STOR
3458,2722,STOR
3458,2709,STOR
3458,2697,STOR
3458,2684,STOR
3458,2671,STOR
3458,2658,STOR
3458,2645,STOR
3458,2632,STOR
3458,2620,STOR
3458,2607,STOR
3458,2594,STOR
3458,2582,STOR
3458,2569,STOR
3458,2556,STOR
3458,2544,STOR
3458,2531,STOR
3458,2518,STOR
3458,2505,STOR
3458,2493,STOR
3458,2480,STOR
3458,2468,STOR
3458,2455,STOR
3458,2443,STOR
3458,2430,STOR
3458,2418,STOR
3458,2405,STOR
3458,2392,STOR
3458,2379,STOR
3471,2379,STOR
3484,2379,STOR
3496,2379,STOR
3502,2379,STOR
3502,2367,STOR
3502,2354,STOR
3502,2341,STOR
3502,2328,STOR
3502,2315,STOR
3502,2302,STOR
3502,2289,STOR
3502,2276,STOR
3502,2263,STOR
3502,2250,STOR
3515,2250,STOR
3528,2250,STOR
3540,2250,STOR
3553,2250,STOR
3566,2250,COMM
3579,2250,COMM
3591,2250,COMM
3604,2250,COMM
3618,2250,COMM
3640,2250,COMM
3653,2250,COMM
3666,2250,COMM
3679,2250,COMM
3692,2250,COMM
3705,2250,COMM
3718,2250,COMM
3730,2250,COMM
3743,2250,COMM
3756,2250,COMM
3768,2250,COMM
3781,2250,COMM
3794,2250,COMM
3806,2250,COMM
3819,2250,COMM
3832,2250,COMM
3846,2250,COMM
3858,2250,COMM
3871,2250,RIGHTCOM
3883,2250,RIGHTCOM
3896,2250,RIGHTCOM
3909,2250,RIGHTCOM
3922,2250,RIGHTCOM
3935,2250,RIGHTCOM
3948,2250,RIGHTCOM
3961,2250,RIGHTCOM
3974,2250,RIGHTCOM
3987,2250,RIGHTCOM
3999,2250,RIGHTCOM
4012,2250,RIGHTCOM
4025,2250,RIGHTCOM
